"Lines","Lon","VehicleNumber","Time","Lat","Brigade"
"11",20.9153,"3137","2023-01-10 10:24:23",52.253548,"1"
"11",20.919706,"3137","2023-01-10 10:25:26",52.256943,"1"
"11",20.922401,"3137","2023-01-10 10:26:24",52.25912,"1"
"11",20.924442,"3137","2023-01-10 10:27:21",52.259987,"1"
"11",20.925434,"3137","2023-01-10 10:28:29",52.260494,"1"
"11",20.925434,"3137","2023-01-10 10:29:27",52.260494,"1"
"11",20.925434,"3137","2023-01-10 10:30:35",52.260494,"1"
"11",20.925434,"3137","2023-01-10 10:31:33",52.260494,"1"
"11",20.925434,"3137","2023-01-10 10:32:41",52.260494,"1"
"11",20.925434,"3137","2023-01-10 10:33:34",52.260494,"1"
"11",20.925299,"3137","2023-01-10 10:34:41",52.26105,"1"
"11",20.925129,"3137","2023-01-10 10:35:39",52.260334,"1"
"11",20.925129,"3137","2023-01-10 10:36:37",52.260334,"1"
"11",20.925129,"3137","2023-01-10 10:37:45",52.260334,"1"
"11",20.925129,"3137","2023-01-10 10:38:43",52.260334,"1"
"11",20.925129,"3137","2023-01-10 10:39:56",52.260334,"1"
"11",20.925129,"3137","2023-01-10 10:40:48",52.260334,"1"
"11",20.924873,"3137","2023-01-10 10:41:46",52.260128,"1"
"11",20.924873,"3137","2023-01-10 10:42:55",52.260128,"1"
"11",20.924873,"3137","2023-01-10 10:43:52",52.260128,"1"
"11",20.923,"3137","2023-01-10 10:45:00",52.25966,"1"
"11",20.920238,"3137","2023-01-10 10:45:58",52.25743,"1"
"11",20.915775,"3137","2023-01-10 10:46:51",52.253845,"1"
"11",20.912807,"3137","2023-01-10 10:47:58",52.251724,"1"
"11",20.911312,"3137","2023-01-10 10:48:54",52.247284,"1"
"11",20.912104,"3137","2023-01-10 10:50:01",52.244114,"1"
"11",20.91242,"3137","2023-01-10 10:50:10",52.242645,"1"
"11",20.91242,"3137","2023-01-10 10:50:10",52.242645,"1"
"11",20.914167,"3137","2023-01-10 10:53:01",52.235897,"1"
"11",20.91481,"3137","2023-01-10 10:54:09",52.232456,"1"
