"Lines","Lon","VehicleNumber","Time","Lat","Brigade"
"11",20.920927,"1383+1387","2023-01-10 10:21:50",52.221516,"8"
"11",20.936827,"1383+1387","2023-01-10 10:25:26",52.22551,"8"
"11",20.941895,"1383+1387","2023-01-10 10:26:24",52.226574,"8"
"11",20.948784,"1383+1387","2023-01-10 10:27:21",52.2287,"8"
"11",20.949417,"1383+1387","2023-01-10 10:28:29",52.228996,"8"
"11",20.949417,"1383+1387","2023-01-10 10:28:35",52.228996,"8"
"11",20.951721,"1383+1387","2023-01-10 10:30:35",52.22969,"8"
"11",20.955648,"1383+1387","2023-01-10 10:31:33",52.23093,"8"
"11",20.961004,"1383+1387","2023-01-10 10:32:41",52.23248,"8"
"11",20.966665,"1383+1387","2023-01-10 10:33:33",52.233593,"8"
"11",20.971893,"1383+1387","2023-01-10 10:34:42",52.234665,"8"
"11",20.9743,"1383+1387","2023-01-10 10:35:39",52.235275,"8"
"11",20.979635,"1383+1387","2023-01-10 10:36:37",52.23671,"8"
"11",20.979635,"1383+1387","2023-01-10 10:37:34",52.23671,"8"
"11",20.980473,"1383+1387","2023-01-10 10:38:43",52.236057,"8"
"11",20.982777,"1383+1387","2023-01-10 10:39:51",52.232437,"8"
"11",20.984472,"1383+1387","2023-01-10 10:40:49",52.230137,"8"
"11",20.988487,"1383+1387","2023-01-10 10:41:46",52.22558,"8"
"11",20.988918,"1383+1387","2023-01-10 10:42:54",52.224865,"8"
"11",20.98684,"1383+1387","2023-01-10 10:43:52",52.222733,"8"
"11",20.984428,"1383+1387","2023-01-10 10:44:55",52.220066,"8"
"11",20.98432,"1383+1387","2023-01-10 10:45:58",52.21995,"8"
"11",20.983614,"1383+1387","2023-01-10 10:46:51",52.218952,"8"
"11",20.984455,"1383+1387","2023-01-10 10:47:59",52.218803,"8"
"11",20.984455,"1383+1387","2023-01-10 10:48:56",52.218803,"8"
"11",20.984455,"1383+1387","2023-01-10 10:50:04",52.218803,"8"
"11",20.984455,"1383+1387","2023-01-10 10:51:02",52.218803,"8"
"11",20.984455,"1383+1387","2023-01-10 10:52:05",52.218803,"8"
"11",20.984455,"1383+1387","2023-01-10 10:53:03",52.218803,"8"
"11",20.984455,"1383+1387","2023-01-10 10:54:11",52.218803,"8"
